StudyID,beta_in,alpha_cc_in,alpha_ci_in,alpha_ic_in,alpha_ii_in,lik_in,beta_out,alpha_cc_out,alpha_ci_out,alpha_ic_out,alpha_ii_out,lik_out
82,9.4689973777871,0.832003853187842,0.0246148145003092,0,0.138724252640388,-79.7837747658493,9.3507496126553,0.766889358003044,0.0471343668717256,0,0.178759953460035,78.1476203051403
83,1.85522771056508,0.366548573187049,0.0797317420031311,0.264360394853715,0.493461465974728,-104.051833995506,5.2421078332895,0.0371157233818735,0.00916795887213846,0.0990160285430544,0.023265346493725,101.729341041097
84,2.4575887935055,0,0,1,0,-115.796891163565,2.59536334746493,0.0102136100023696,0.00236538182660856,1,0,115.578534092072
85,23.9572794033214,0.785118785866204,0,1,0,-79.5321492420936,30,0.89238762860048,0,1,0,79.192051409894
86,4.00367077495794,0.133092984778136,1,0.165802981007419,0,-89.7770780409852,4.64056107166086,0.0683341126298439,1,0.248215095415082,0.0015101395669592,88.889901100208
87,18.9500976749014,0.105489761765183,0.0559851987188907,0.0309018771338119,0.00887292650929861,-56.0958482085678,30,0.0408271685893265,0.0523986616329743,0.0136460378774566,0.00378034272253338,54.1405386766497
88,2.75403360805612,0.0520191212844806,0,0.119251664151191,2.3425049553803e-4,-120.084630485215,1.74736299366813,0.045593903747822,0.300277607640665,0.160895543191064,0.0296025096740314,117.549119864221
89,11.6132080262354,0.626176958902416,0.0515719630053888,1,0.0131040924501694,-62.0515185754494,30,0.816240318753872,0.02461185660291,1,0.00567552698928569,59.7477248757768
90,1.01807843761122,0.0652158276158878,0,0.145260370532052,0.0707537258846573,-122.665746699425,1.34153882284133,1,0,0.0581215792259705,0.0175330053033497,118.246619609678
91,0.991378857483183,0.231148532354132,1,0,0.0146089647931259,-127.566385749786,0.73702262944193,0.167587690941679,0.00849794028849198,0,1,122.658007401643
92,2.04389472990507,0.00921506138346398,1,0.968456940476613,0.138724252640388,-95.6865806597278,2.58929822366491,0,1,0.511150213897612,0.360873121064401,93.0930435480071
93,0.865544755714328,0.331318624600759,1,0,0,-121.313315734219,1.52415613223934,0.222041894851946,0.256650042423309,0.0106984335354235,0.00684708171517528,120.046527105
94,7.53764955750646,0.0261910735197804,0,0,0.0841453922042265,-103.449538656852,6.18916973774748,0.0624713813678065,0.0146043900992966,0.00408918441064569,0.185461347907695,99.0896416320633
95,0.70004402016815,0,0.0613010454921138,0.342731888327722,0,-124.650890100751,0.575107186524474,1,0.0271114279178738,0,0.0346939107177814,123.469035461996
96,2.01955522777253,0.0580100255737592,0.0520835863038502,0.0807484154235926,0,-116.990656079432,2.30299590156764,0.24157161124545,0.194181277593158,0.123049743288487,0.0220657357709601,114.23630644569
97,9.16698440319765,0.154767682469705,0,0.0680359542650922,0,-90.4044804410356,7.78183842330659,0.107262325644943,0.010827734473315,0.111308925529978,0,88.5061996206681
98,8.7559564252877,0.0444932771825894,1,0.00104543513278235,0.226248800699387,-74.0976517306757,11.4692770126366,0.0351086968309142,0.985300389887164,0,0.648592384017905,71.4658758384026
99,30,0,0,0.616343783397115,0.536340177241505,-70.3372524384731,30,0,0.00262172036326695,0.641671668073681,0.495296208915875,68.3459857027266
100,9.999999992516e-7,0,0,0.0123622252880817,0,-124.766492612768,1.00000000102796e-6,0,0,0,0,124.76649250079
101,2.4575887935055,0.0766455782971579,0,0,0,-122.504237996373,0.379761423011112,0.431132475508694,0.90209026521494,0.261706540561901,0.798403235718394,123.539547507525
102,4.4095787181695,0.231148532354132,0.00508760664508436,0.138974111442078,0.0483452374472374,-94.3136548066918,3.46350682378814,0.383756821991437,0.0072395101413826,0.297693701986318,0.100655139329899,93.3639445405117
103,1.34586112130999,0.0769949015395767,0,1,0,-120.214196463841,1.58708103163551,0.00456167741966119,0,1,0,119.32581386713
104,1.9750892536061,1,0.0194788421095137,0.0340905967287395,0.0277480281984772,-114.149865742058,2.72188576964441,0.838008666258415,0.00997915669051529,0.0146227722111875,0.0696715621396523,112.28826187219
105,1.85522771056508,0.239964648842137,0,0.146027660695046,0,-124.029553777061,0.908814619151198,0.42086111933174303,0.317213883017573,0.471154365426759,0.0498817684209795,120.897601325421
106,22.3543758398682,0.0186931626057548,0.0146235413576844,0.0340905967287395,0.0225692293926012,-76.9613844976399,30,0.0127223889229633,0.00903271499448064,0.0209353279532363,0.0101076031376085,75.5160664493723
107,30,0.0044228688299693,0,0.0935792857522535,0,-92.5583755083437,30,0.0036358201083886,5.4300741414019e-4,0.146892743522764,2.4642722437168e-4,92.1278920365805
108,4.97181033646044,0.0766455782971579,1,0,0,-93.1665576168779,4.22765639909629,0.11826451109114,0.719957265280141,0,0,91.8892272022526
109,6.60421477429201,0,0.00705650792482326,0.616343783397115,0.390345788847999,-74.1702537815637,14.2997657929032,0,0.00213849848648523,0.742489670553692,0.202104894469306,72.549150223388
110,17.9712246761252,0.0408193757309897,0.129966299632384,1,0.0126803524734774,-57.0310320518557,18.2231007768631,0.0363981236257198,0.122057875010836,0.959922590754576,0.0095518229557504,56.357458078071
111,1.00000000013978e-6,0.116922463229238,0.0444136738935468,1,0.0707537258846573,-124.766497139909,0.74342807288286,0,0.0355268686756836,0,1,123.625191566175
112,0.5544695106145,0,0.00963789316395662,0.0111504430407385,0.359866657017354,-125.273973399376,0.513555473441433,0.0223764631920957,0.267781412527977,0,1,123.490633553364
113,0.619881056815872,0.116922463229238,0.0515719630053888,0.0773181765313398,0.00142247427324707,-122.016401593486,1.33973047520184,0.0597245317466893,0.338657076874616,0.13883009461581,0,119.963987020626
114,0.587176511941196,0.0518442834817508,0.0133087518614144,1,0.0156249288559803,-123.681027190935,1.00000000102796e-6,0,0,0,0,124.76649250079
115,18.9500976749014,1,0.0547777040346627,6.276500845951e-4,0.04961597672406,-56.6561621154718,30,0.974416152187812,0.0360826840804427,0.00205031469445847,0.047454814388493,53.6290906775696
116,30,0.0326775444789328,1,0.227857077252995,0.00887292650929861,-52.9519556101548,30,0.0308330836429867,0.991964977453113,0.181176613300814,0.00480689199837537,51.2167997623119
117,0.454641563684408,0,0.338673522734012,0.119251664151191,0,-124.762442322869,1.21063883559106,0.128134795882811,0.0857551847780764,0.00639993878224168,0.0800606205156226,122.365654508668
118,24.7831340638421,1,0.0133087518614144,0.0340905967287395,0.0783835060402968,-38.6101820895496,30,0.946012178828711,0.0125116612723811,0.0178905987896896,0.0655348127961666,36.2611566018109
119,1.00000000102796e-6,0.626176958902416,0.0362151835071974,0.294972564165556,0.0147596892898447,-124.766492537124,0.403862453664702,0.0313629445306436,0.557405615884823,0.450486489001583,0.524577990580285,123.860815179732
120,0.454641563684408,0.366548573187049,0.0914260375909186,0.468820965729151,0,-121.615417069736,1.04260576104967,0.404513600879124,0.193720684350545,0.365140132104449,0.484383175863632,118.874817122078
121,2.4575887935055,0.341443434646527,0.307281280225009,1,0.138724252640388,-96.1817412325521,3.29810595420756,0.118426085842423,0.262663702403815,0.598977515043667,0.0501257061781022,93.4570173709942
