Model,AIC_Value,ExactAge,AgeGroup,StudyID
Vanilla,253.532985001581,21.578082191780823,Adults,57
EmoQ,251.340731215878,21.578082191780823,Adults,57
EmoBias,252.399534343846,21.578082191780823,Adults,57
EmoHier,253.342241558422,21.578082191780823,Adults,57
EmoAvg,249.667914707703,21.578082191780823,Adults,57
Cong,248.582485946592,21.578082191780823,Adults,57
Cond,250.782027111344,21.578082191780823,Adults,57
CongBeta,248.212833961097,21.578082191780823,Adults,57
CondBeta,249.803443660262,21.578082191780823,Adults,57
Vanilla,55.1264483189051,21.13972602739726,Adults,58
EmoQ,188.131193226356,21.13972602739726,Adults,58
EmoBias,67.971416805857,21.13972602739726,Adults,58
EmoHier,58.7676528589636,21.13972602739726,Adults,58
EmoAvg,135.895501373403,21.13972602739726,Adults,58
Cong,56.9898346545293,21.13972602739726,Adults,58
Cond,58.8062309349933,21.13972602739726,Adults,58
CongBeta,57.8112671608445,21.13972602739726,Adults,58
CondBeta,57.9105636970988,21.13972602739726,Adults,58
Vanilla,252.521124259024,21.16164383561644,Adults,59
EmoQ,247.270445546342,21.16164383561644,Adults,59
EmoBias,248.525553010275,21.16164383561644,Adults,59
EmoHier,251.351758591587,21.16164383561644,Adults,59
EmoAvg,243.637647407606,21.16164383561644,Adults,59
Cong,253.340529985937,21.16164383561644,Adults,59
Cond,255.279260913632,21.16164383561644,Adults,59
CongBeta,254.089009825464,21.16164383561644,Adults,59
CondBeta,253.203455092565,21.16164383561644,Adults,59
Vanilla,140.35477073449,21.432876712328767,Adults,60
EmoQ,195.091396484583,21.432876712328767,Adults,60
EmoBias,151.570706701097,21.432876712328767,Adults,60
EmoHier,146.790372958484,21.432876712328767,Adults,60
EmoAvg,176.747258306523,21.432876712328767,Adults,60
Cong,142.740152558754,21.432876712328767,Adults,60
Cond,140.72064112396,21.432876712328767,Adults,60
CongBeta,142.95060082583,21.432876712328767,Adults,60
CondBeta,142.348993887935,21.432876712328767,Adults,60
Vanilla,246.397056253832,21.15068493150685,Adults,61
EmoQ,230.082341079532,21.15068493150685,Adults,61
EmoBias,231.39781258121,21.15068493150685,Adults,61
EmoHier,237.850845888376,21.15068493150685,Adults,61
EmoAvg,233.004663724784,21.15068493150685,Adults,61
Cong,246.21628936657,21.15068493150685,Adults,61
Cond,243.809414416164,21.15068493150685,Adults,61
CongBeta,246.914250661563,21.15068493150685,Adults,61
CondBeta,243.625891260102,21.15068493150685,Adults,61
Vanilla,108.010020475785,21.356164383561644,Adults,62
EmoQ,132.529564146112,21.356164383561644,Adults,62
EmoBias,117.783971960421,21.356164383561644,Adults,62
EmoHier,111.307257612813,21.356164383561644,Adults,62
EmoAvg,138.637030159284,21.356164383561644,Adults,62
Cong,84.7847845940191,21.356164383561644,Adults,62
Cond,85.3671984139195,21.356164383561644,Adults,62
CongBeta,84.2409236250383,21.356164383561644,Adults,62
CondBeta,85.2835356325142,21.356164383561644,Adults,62
Vanilla,232.011296301514,22.2986301369863,Adults,63
EmoQ,187.368438050654,22.2986301369863,Adults,63
EmoBias,193.806632102649,22.2986301369863,Adults,63
EmoHier,209.696259728691,22.2986301369863,Adults,63
EmoAvg,187.747473636003,22.2986301369863,Adults,63
Cong,200.075172972881,22.2986301369863,Adults,63
Cond,200.147124590818,22.2986301369863,Adults,63
CongBeta,201.70680740494,22.2986301369863,Adults,63
CondBeta,201.535790481451,22.2986301369863,Adults,63
Vanilla,253.532985001581,9.476712328767125,Children,64
EmoQ,253.532989001603,9.476712328767125,Children,64
EmoBias,255.532985979469,9.476712328767125,Children,64
EmoHier,250.802531820989,9.476712328767125,Children,64
EmoAvg,252.16292877829,9.476712328767125,Children,64
Cong,257.532985001581,9.476712328767125,Children,64
Cond,259.120431851511,9.476712328767125,Children,64
CongBeta,257.532985001581,9.476712328767125,Children,64
CondBeta,259.532985001581,9.476712328767125,Children,64
Vanilla,253.532985001581,12.843835616438357,Children,65
EmoQ,247.071429838271,12.843835616438357,Children,65
EmoBias,248.760084277302,12.843835616438357,Children,65
EmoHier,245.378386933471,12.843835616438357,Children,65
EmoAvg,248.332518089824,12.843835616438357,Children,65
Cong,252.299245837057,12.843835616438357,Children,65
Cond,253.097898994086,12.843835616438357,Children,65
CongBeta,250.31983673555,12.843835616438357,Children,65
CondBeta,249.684237431675,12.843835616438357,Children,65
Vanilla,186.82427834146,12.263013698630138,Children,66
EmoQ,191.246936963973,12.263013698630138,Children,66
EmoBias,189.524743038689,12.263013698630138,Children,66
EmoHier,193.442563084806,12.263013698630138,Children,66
EmoAvg,192.229269327704,12.263013698630138,Children,66
Cong,187.243295378093,12.263013698630138,Children,66
Cond,186.964745738097,12.263013698630138,Children,66
CongBeta,189.470041960665,12.263013698630138,Children,66
CondBeta,191.327791815627,12.263013698630138,Children,66
Vanilla,253.223028782614,15.846575342465751,Adolescents,67
EmoQ,250.725488186932,15.846575342465751,Adolescents,67
EmoBias,252.399158711058,15.846575342465751,Adolescents,67
EmoHier,252.961603411438,15.846575342465751,Adolescents,67
EmoAvg,250.529787084879,15.846575342465751,Adolescents,67
Cong,255.325786575961,15.846575342465751,Adolescents,67
Cond,259.532985001581,15.846575342465751,Adolescents,67
CongBeta,255.325786526079,15.846575342465751,Adolescents,67
CondBeta,254.885616036577,15.846575342465751,Adolescents,67
Vanilla,223.735031860401,15.027397260273972,Adolescents,68
EmoQ,224.879493523309,15.027397260273972,Adolescents,68
EmoBias,225.502537646562,15.027397260273972,Adolescents,68
EmoHier,230.798922612907,15.027397260273972,Adolescents,68
EmoAvg,223.347786722511,15.027397260273972,Adolescents,68
Cong,222.568790596037,15.027397260273972,Adolescents,68
Cond,220.333129971673,15.027397260273972,Adolescents,68
