Model,BIC_Value,ExactAge,AgeGroup,StudyID
EmoAvg,256.640801197508,14.178082191780822,Adolescents,20
Cong,268.00120311815,14.178082191780822,Adolescents,20
Cond,275.497769256032,14.178082191780822,Adolescents,20
CongBeta,268.427540959721,14.178082191780822,Adolescents,20
CondBeta,273.54665376007,14.178082191780822,Adolescents,20
Vanilla,217.033114621103,19.731506849315068,Adults,21
EmoQ,232.428886891254,19.731506849315068,Adults,21
EmoBias,196.161434270163,19.731506849315068,Adults,21
EmoHier,218.989542630758,19.731506849315068,Adults,21
EmoAvg,211.190974072732,19.731506849315068,Adults,21
Cong,183.692839573327,19.731506849315068,Adults,21
Cond,188.684946072532,19.731506849315068,Adults,21
CongBeta,185.619264421872,19.731506849315068,Adults,21
CondBeta,190.809927041684,19.731506849315068,Adults,21
Vanilla,224.220436282354,19.75068493150685,Adults,22
EmoQ,222.495456403255,19.75068493150685,Adults,22
EmoBias,225.714418324622,19.75068493150685,Adults,22
EmoHier,234.285280268653,19.75068493150685,Adults,22
EmoAvg,229.437758179301,19.75068493150685,Adults,22
Cong,230.308270066765,19.75068493150685,Adults,22
Cond,230.435212949706,19.75068493150685,Adults,22
CongBeta,230.938956873541,19.75068493150685,Adults,22
CondBeta,231.914453553058,19.75068493150685,Adults,22
Vanilla,86.9962066959959,19.91780821917808,Adults,23
EmoQ,126.367556238876,19.91780821917808,Adults,23
EmoBias,108.639966595129,19.91780821917808,Adults,23
EmoHier,92.7902296574194,19.91780821917808,Adults,23
EmoAvg,146.329891075381,19.91780821917808,Adults,23
Cong,93.5017127153981,19.91780821917808,Adults,23
Cond,98.1096376619014,19.91780821917808,Adults,23
CongBeta,94.2747519925818,19.91780821917808,Adults,23
CondBeta,98.8721520312027,19.91780821917808,Adults,23
Vanilla,246.164534664492,14.3013698630137,Adolescents,24
EmoQ,240.526987276656,14.3013698630137,Adolescents,24
EmoBias,253.329709221948,14.3013698630137,Adolescents,24
EmoHier,258.366349931735,14.3013698630137,Adolescents,24
EmoAvg,251.833387092358,14.3013698630137,Adolescents,24
Cong,256.506905440765,14.3013698630137,Adolescents,24
Cond,261.670892078753,14.3013698630137,Adolescents,24
CongBeta,256.481978817876,14.3013698630137,Adolescents,24
CondBeta,261.65141643218,14.3013698630137,Adolescents,24
Vanilla,248.824425562067,13.082191780821915,Adolescents,25
EmoQ,247.238463831313,13.082191780821915,Adolescents,25
EmoBias,249.923325132062,13.082191780821915,Adolescents,25
EmoHier,252.496173584455,13.082191780821915,Adolescents,25
EmoAvg,249.827894540941,13.082191780821915,Adolescents,25
Cong,256.93781064198,13.082191780821915,Adolescents,25
Cond,262.054920209792,13.082191780821915,Adolescents,25
CongBeta,257.291114678794,13.082191780821915,Adolescents,25
CondBeta,262.313498673367,13.082191780821915,Adolescents,25
Vanilla,240.752945617301,14.013698630136986,Adolescents,26
EmoQ,241.688296284139,14.013698630136986,Adolescents,26
EmoBias,247.110834798503,14.013698630136986,Adolescents,26
EmoHier,248.34003860429,14.013698630136986,Adolescents,26
EmoAvg,233.358269773266,14.013698630136986,Adolescents,26
Cong,270.304812405142,14.013698630136986,Adolescents,26
Cond,232.088635579624,14.013698630136986,Adolescents,26
CongBeta,228.081213954267,14.013698630136986,Adolescents,26
CondBeta,231.895891632929,14.013698630136986,Adolescents,26
Vanilla,259.918898703361,12.227397260273971,Children,27
EmoQ,259.918910703384,12.227397260273971,Children,27
EmoBias,264.633791424231,12.227397260273971,Children,27
